Date,Station_Name,Product_Category,Shift,Supervisor,Weekday,Product,Quantity,Unit_Price,Revenue,Month_Name,Month_Number,Quarter,,
01/01/2025,Idimu,Lubricant,Morning,Mr John,Wednesday,AGO,9751,₦750,"₦7,313,250",January,1,1,,
01/01/2025,Idimu,Lubricant,Morning,Mr John,Wednesday,PMS,14423,₦650,"₦9,374,950",January,1,1,,
01/01/2025,Idimu,Lubricant,Morning,Mr John,Wednesday,Lubricant,991,"₦2,000","₦1,982,000",January,1,1,,
01/01/2025,Idimu,Lubricant,Morning,Mr John,Wednesday,Diesel,14362,₦820,"₦11,776,840",January,1,1,,
01/01/2025,Idimu,Lubricant,Morning,Mr John,Wednesday,LPG (kg),1407,₦850,"₦1,195,950",January,1,1,,
02/01/2025,Iwaya,Automotive Fuel,Night,Mrs Chika,Thursday,AGO,5866,₦750,"₦4,399,500",January,1,1,,
02/01/2025,Iwaya,Automotive Fuel,Night,Mrs Chika,Thursday,PMS,12731,₦650,"₦8,275,150",January,1,1,,
02/01/2025,Iwaya,Automotive Fuel,Night,Mrs Chika,Thursday,Lubricant,1427,"₦2,000","₦2,854,000",January,1,1,,
02/01/2025,Iwaya,Automotive Fuel,Night,Mrs Chika,Thursday,Diesel,11577,₦820,"₦9,493,140",January,1,1,,
02/01/2025,Iwaya,Automotive Fuel,Night,Mrs Chika,Thursday,LPG (kg),2207,₦850,"₦1,875,950",January,1,1,,
03/01/2025,Maryland,Lubricant,Morning,Mr John,Friday,AGO,10568,₦750,"₦7,926,000",January,1,1,,
03/01/2025,Maryland,Lubricant,Morning,Mr John,Friday,PMS,21058,₦650,"₦13,687,700",January,1,1,,
03/01/2025,Maryland,Lubricant,Morning,Mr John,Friday,Lubricant,884,"₦2,000","₦1,768,000",January,1,1,,
03/01/2025,Maryland,Lubricant,Morning,Mr John,Friday,Diesel,14609,₦820,"₦11,979,380",January,1,1,,
03/01/2025,Maryland,Lubricant,Morning,Mr John,Friday,LPG (kg),2112,₦850,"₦1,795,200",January,1,1,,
04/01/2025,Idimu,Automotive Fuel,Afternoon,Miss Ada,Saturday,AGO,11098,₦750,"₦8,323,500",January,1,1,,
04/01/2025,Idimu,Automotive Fuel,Afternoon,Miss Ada,Saturday,PMS,11588,₦650,"₦7,532,200",January,1,1,,
